entry_id	source	part_of_speech	level	user_ukrainian	prior_v7_ukrainian	prior_v7_present	action
ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	сміливий		no	activate_user_tail_identity
ox5000-336cd82ab74183c72edd	bombing	noun	B2	бомбардування		no	activate_user_tail_identity
ox5000-0324076e988934c9c7ca	booking	noun	B2	бронювання		no	activate_user_tail_identity
ox5000-00636bc1e91847dc273e	boost	noun	B2	підвищення		no	activate_user_tail_identity
ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	підвищувати		no	activate_user_tail_identity
ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	неминучий		no	activate_user_tail_identity
ox5000-f36df4a285a808895f17	brick	noun	B2	цеглина		no	activate_user_tail_identity
ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	коротко		no	activate_user_tail_identity
ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	телерадіомовник		no	activate_user_tail_identity
ox5000-c665d95862829f444fe3	broadly	adverb	B2	загалом		no	activate_user_tail_identity
ox5000-7e010b349356a4ff144c	bug	noun	B2	помилка; жук		no	activate_user_tail_identity
ox5000-bc1029015aec50c2aea1	cabin	noun	B2	каюта; хатина		no	activate_user_tail_identity
ox5000-b575091301cde0aab47c	canal	noun	B2	канал		no	activate_user_tail_identity
ox5000-6c90d20f57eaa3951076	candle	noun	B2	свічка		no	activate_user_tail_identity
ox5000-aadc5f65541eae6cccd0	carbon	noun	B2	вуглець		no	activate_user_tail_identity
ox5000-9c94f94be7b1a888dd21	casual	adjective	B2	повсякденний; випадковий		no	activate_user_tail_identity
ox5000-2f11663a968a94ccb406	cave	noun	B2	печера		no	activate_user_tail_identity
ox5000-1a9ae9f38cefadbdbe69	certainty	noun	B2	впевненість		no	activate_user_tail_identity
ox5000-f65ec664052307d40e5e	certificate	noun	B2	сертифікат		no	activate_user_tail_identity
ox5000-d11e4137c39c91300aa9	challenging	adjective	B2	складний		no	activate_user_tail_identity
ox5000-371ffb23c06cf5d1b8ef	championship	noun	B2	чемпіонат	чемпіонат	yes	replace_v7_with_user_value
ox5000-aa38df2298e6ecac59b2	charming	adjective	B2	чарівний		no	activate_user_tail_identity
ox5000-faf95786d6bb15f92757	chase	noun	B2	переслідування		no	activate_user_tail_identity
ox5000-1c569c97ca81d70efaf2	chase	verb	B2	переслідувати		no	activate_user_tail_identity
ox5000-9f02d00aa1a75bbfe2ec	cheek	noun	B2	щока		no	activate_user_tail_identity
ox5000-e9afbf1e9b9ba09c65ee	cheer	noun	B2	підбадьорення		no	activate_user_tail_identity
ox5000-042f56b4f8aa0bfb23f1	cheer	verb	B2	підбадьорювати		no	activate_user_tail_identity
ox5000-4e45db7231a1deb4a27d	choir	noun	B2	хор		no	activate_user_tail_identity
ox5000-5f21cc31a80fe8b694f6	chop	verb	B2	рубати		no	activate_user_tail_identity
ox5000-14a30058a90886f8f5dc	circuit	noun	B2	електричне коло		no	activate_user_tail_identity
ox5000-50c859b7eef5dc7ea1e0	civilization	noun	B2	цивілізація		no	activate_user_tail_identity
ox5000-086a5e82dfa259ffe944	clarify	verb	B2	уточнювати		no	activate_user_tail_identity
ox5000-6d64823d57328578c4d4	classify	verb	B2	класифікувати		no	activate_user_tail_identity
ox5000-123000ccb24aad3cb552	clerk	noun	B2	службовець		no	activate_user_tail_identity
ox5000-bf7922083634871fd76e	cliff	noun	B2	скеля		no	activate_user_tail_identity
ox5000-065f94e1d344097a9fb6	clinic	noun	B2	клініка		no	activate_user_tail_identity
ox5000-a57faf81bb42681a8e1a	clip	noun	B2	уривок; затискач		no	activate_user_tail_identity
