content_qa_run_id	data_factory_run_id	entry_id	source	part_of_speech	level	decision	ukrainian	qa_reason
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	BLOCKED		BLOCKED V4: surface MT candidate lacks two-sided exact-definition support; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='brave and confident; not afraid to say what you feel or to take risks'; candidate='жирний'; reverse='bold'; lexical=1.000; candidate_definition_similarity=0.133; reverse_definition_similarity=0.252.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-336cd82ab74183c72edd	bombing	noun	B2	PASS	бомбардува́ння	PASS V4: concise lexical equivalent; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='an occasion when a bomb is dropped or left somewhere; the act of doing this'; candidate='бомбардува́ння'; reverse='bombing'; lexical=1.000; candidate_definition_similarity=0.743; reverse_definition_similarity=0.694; lexical-form/POS/role/source-grounded checks PASS.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-0324076e988934c9c7ca	booking	noun	B2	BLOCKED		BLOCKED V4: Wiktionary candidate does not back-translate to the exact English lexical identity; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.'; candidate='резервува́ння'; reverse='reserve'; lexical=0.000; candidate_definition_similarity=0.399; reverse_definition_similarity=0.185.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-00636bc1e91847dc273e	boost	noun	B2	BLOCKED		BLOCKED V4: semantic role mismatch: Oxford definition requires person, reverse candidate looks generic; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='something that helps or encourages somebody/something'; candidate='запомо́га'; reverse='relief work'; lexical=0.125; candidate_definition_similarity=0.355; reverse_definition_similarity=0.366.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	BLOCKED		BLOCKED V4: verb candidate is not an appropriate Ukrainian infinitive/verb phrase; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='to make something increase, or become better or more successful'; candidate='Підсилення'; reverse='Gain'; lexical=0.000; candidate_definition_similarity=0.493; reverse_definition_similarity=0.464.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	BLOCKED		"BLOCKED V4: adjective candidate has no plausible Ukrainian adjective morphology; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='certain or likely to happen, or to do or be something'; candidate=""прив' язаний""; reverse='bound'; lexical=1.000; candidate_definition_similarity=0.209; reverse_definition_similarity=0.126."
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-f36df4a285a808895f17	brick	noun	B2	BLOCKED		BLOCKED V4: Wiktionary lexical candidate lacks two-sided exact-definition support; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='baked clay used for building walls, houses and other buildings; an individual block of this'; candidate='цегли́стий'; reverse='brick'; lexical=1.000; candidate_definition_similarity=0.246; reverse_definition_similarity=0.540.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	BLOCKED		BLOCKED V4: multiword adverb candidate is not an adverbial phrase; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='for a short time'; candidate='короткий час'; reverse='short time'; lexical=0.353; candidate_definition_similarity=0.879; reverse_definition_similarity=0.799.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	BLOCKED		BLOCKED V4: semantic role mismatch: Oxford definition requires person, reverse candidate looks generic; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='a person whose job is presenting or talking on television or radio programmes'; candidate='мо́вник'; reverse='movnik'; lexical=0.118; candidate_definition_similarity=0.273; reverse_definition_similarity=0.341.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V4_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V4_round01	ox5000-c665d95862829f444fe3	broadly	adverb	B2	BLOCKED		BLOCKED V4: surface MT candidate does not back-translate to the exact English lexical identity; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='generally, without considering details'; candidate='Широко'; reverse='Wide'; lexical=0.182; candidate_definition_similarity=0.437; reverse_definition_similarity=0.228.
